process_data,angle_calc,draw,full_loop,arduino_signal
79.036,9.389,51.850,140.274,0.000
8.661,8.711,27.550,44.921,0.000
9.903,8.674,27.678,46.255,0.000
9.540,6.201,28.237,43.978,0.000
9.535,6.860,27.729,44.125,0.000
8.460,6.453,27.115,42.027,0.000
11.839,5.850,28.157,45.845,0.000
11.276,6.621,31.186,49.083,0.000
11.847,5.934,27.660,45.441,0.000
9.171,6.744,26.836,42.750,0.000
8.684,5.780,26.717,41.182,0.000
11.770,6.149,27.011,44.930,0.000
16.279,5.365,29.644,51.288,0.000
12.234,10.725,31.175,54.133,0.000
13.901,5.472,27.015,46.388,0.000
9.319,7.278,27.668,44.266,0.000
9.344,5.923,28.534,43.802,0.000
19.707,23.706,70.372,113.786,0.000
9.707,9.628,46.813,66.148,0.000
16.557,11.047,30.116,57.720,0.000
9.426,7.996,27.294,44.716,0.000
9.559,6.429,26.896,42.883,0.000
7.949,6.559,28.425,42.934,0.000
12.816,5.815,27.080,45.712,0.000
12.646,6.501,27.145,46.292,0.000
8.758,6.629,27.644,43.030,0.000
8.615,6.818,27.040,42.472,0.000
8.279,5.760,27.307,41.345,0.000
12.258,6.094,27.075,45.426,0.000
12.491,5.489,28.503,46.483,0.000
8.724,7.000,26.981,42.706,0.000
8.374,5.637,27.024,41.035,0.000
12.624,5.398,34.956,52.978,0.000
10.029,5.902,27.128,43.060,0.000
11.828,5.036,27.097,43.961,0.000
9.478,7.068,27.194,43.740,0.000
9.658,6.077,27.969,43.703,0.000
9.531,5.710,27.079,42.320,0.000
11.533,5.889,27.261,44.683,0.000
12.255,5.234,31.334,48.823,0.000
13.933,6.245,30.393,50.572,0.000
13.203,5.504,31.271,49.978,0.000
9.275,5.528,27.746,42.549,0.000
10.674,7.530,23.674,41.878,0.000
5.470,6.164,13.791,25.424,0.000
4.237,3.240,13.501,20.978,0.000
4.714,3.081,13.602,21.396,0.000
4.002,3.252,23.347,30.601,0.000
8.899,5.749,26.726,41.373,0.000
12.121,5.401,27.096,44.618,0.000
11.738,7.175,27.177,46.090,0.000
9.109,9.988,27.207,46.304,0.000
8.835,6.020,27.423,42.278,0.000
10.120,5.759,26.872,42.751,0.000
14.176,6.010,27.313,47.499,0.000
12.419,5.605,27.369,45.394,0.000
13.232,5.485,27.153,45.869,0.000
9.891,6.693,26.962,43.546,0.000
9.376,5.970,27.077,42.422,0.000
11.680,5.365,27.560,44.604,0.000
