process_data_ms,total_processing_ms,full_loop_ms,full_time,accuracy
72.76,16.689,5.149,0,1
22.705,6.499,5.362,113.706,0
13.636,9.054,5.606,57.203,0
22.086,7.468,7.025,59.845,0
12.331,7.605,6.584,64.569,0
10.623,7.465,5.429,53.432,0
16.819,7.75,4.119,46.305,0
14.994,7.063,4.649,45.613,0
17.056,5.252,6.673,50.625,0
20.868,7.583,5.649,41.067,0
19.043,4.891,5.015,47.619,0
37.041,8.753,11.934,41.344,0
45.172,12.344,17.843,82.199,0
17.744,8.471,3.066,109.032,0
19.175,6.283,4.579,54.006,0
10.997,5.068,5.854,56.723,0
18.569,6.354,7.117,43.258,0
10.472,6.078,4.389,47.373,0
13.742,5.434,3.393,40.933,0
21.141,5.044,4.274,42.16,0
18.921,5.462,3.061,51.08,0
16.01,4.658,4.389,39.725,0
12.769,6.23,5.431,42.275,0
13.035,7.948,4.971,39.326,0
13.191,6.068,8.065,47.251,0
12.54,5.627,5.508,40.682,0
14.914,10.714,13.09,41.425,0
12.017,5.492,5.146,54.209,0
13.817,5.908,3.201,33.8,0
8.958,6.053,4.802,34.605,0
10.001,10.379,5.365,30.175,0
8.75,6.994,3.539,37.935,0
8.585,4.85,2.822,29.222,0
12.572,4.876,5.059,31.452,0
11.938,8.919,7.021,28.491,0
15.462,5.363,5.774,46.172,0
13.541,5.007,4.938,40.309,0
21.515,6.916,7.534,38.116,0
13.318,4.794,3.973,50.009,0
12.951,6.354,5.009,37.426,0
14.657,4.925,4.133,35.936,0
12.869,8.006,5.694,39.602,0
10.758,6.283,6.217,41.604,0
16.582,5.811,6.725,41.758,0
13.84,5.332,6.142,41.409,0
14.512,5.177,5.31,38.696,0
15.903,4.903,4.743,41.483,0
10.357,5.434,5.088,38.637,0
11.098,5.646,12.951,36.365,0
10.627,5.781,6.485,42.667,0
10.807,7.244,8.44,37.949,0
9.529,5.056,4.949,42.325,0
9.216,6.037,4.614,34.925,0
9.483,5.154,2.981,34.328,0
15.019,5.251,5.144,34.085,0
15.615,5.899,4.762,36.37,0
9.014,6.703,7.824,38.877,0
10.352,6.355,6.576,38.114,0
28.314,6.046,5.888,40.262,0
12.823,5.249,5.62,61.453,0
24.909,4.786,4.319,37.203,0
18.326,4.837,3.322,50.792,0
14.587,4.982,3.587,42.78,0
19.803,4.373,5.5,47.143,0
17.818,5.028,6.364,43.589,0
21.494,8.477,6.694,46.391,0
22.942,5.646,5.559,46.526,0
21.195,4.844,4.65,45.386,0
9.903,6.189,8.151,42.955,0
14.858,4.625,3.534,44.858,0
21.578,4.738,6.283,45.158,0
16.259,5.792,3.991,44.822,0
9.719,5.712,9.126,44.532,0
10.235,5.508,4.611,45.502,0
12.575,4.854,3.435,40.004,0
14.208,4.655,3.876,33.586,0
12.586,5.8,6.108,37.602,0
12.718,7.73,6.977,36.587,0
12.725,4.999,4.308,39.975,0
9.195,5.035,4.671,37.073,0
11.077,5.254,6.835,33.526,0
16.104,4.68,5.358,35.2,0
12.479,7.513,6.781,39.514,0
20.01,4.975,4.549,43.501,0
11.829,10.068,8.021,42.368,0
10.936,6.729,7.2,41.591,0
18.17,9.149,7.21,39.271,0
16.59,8.764,5.6,50.2,0
23.362,11.016,6.252,40.936,0
25.391,6.793,3.39,50.041,0
