process_data_ms,total_processing_ms,full_loop_ms,total time,accuracy
87.408,19.725,6.411,0.000,0.000
9.729,5.891,3.902,127.225,0.000
17.887,5.115,6.686,42.993,0.000
9.764,6.554,5.706,41.734,0.000
12.431,10.325,4.668,33.437,0.000
15.325,4.766,5.068,42.051,0.000
12.511,5.993,5.733,34.787,0.000
8.859,5.965,4.188,30.794,0.000
9.607,4.487,6.080,25.489,0.000
13.623,4.648,7.070,26.284,0.000
11.770,4.761,4.618,32.385,0.000
9.250,6.253,6.170,27.312,0.000
8.914,5.989,4.291,27.121,0.000
12.773,5.349,5.857,26.281,0.000
10.583,4.983,5.890,30.936,0.000
9.370,4.714,7.114,27.271,0.000
10.072,5.132,5.591,26.580,0.000
10.064,4.481,6.341,25.802,0.000
13.141,4.764,5.416,26.972,0.000
16.755,5.121,3.230,29.613,0.000
8.900,5.147,8.186,31.905,0.000
10.691,5.880,6.961,27.688,0.000
13.505,4.619,4.950,30.248,0.000
11.682,6.244,5.544,28.261,0.000
10.969,4.723,6.944,30.234,0.000
8.808,4.664,3.475,28.478,0.000
10.749,4.642,4.702,22.354,0.000
13.803,4.691,5.548,27.213,0.000
12.961,7.505,4.920,29.180,0.000
8.486,5.772,4.458,31.910,0.000
9.639,5.083,6.038,25.361,0.000
13.658,4.580,5.780,34.290,0.000
11.174,5.204,4.853,32.098,0.000
10.104,4.766,3.049,27.170,0.000
10.495,6.148,5.926,28.441,0.000
10.594,4.453,5.092,29.316,0.000
12.507,4.510,4.977,27.597,0.000
8.585,6.063,4.715,28.763,0.000
10.767,7.101,6.302,25.204,0.000
9.267,5.703,4.039,35.667,0.000
9.781,5.202,5.164,29.092,0.000
9.242,8.911,6.280,29.100,0.000
12.208,4.852,4.976,30.750,0.000
11.706,8.798,2.408,27.953,0.000
10.063,4.668,4.879,29.955,0.000
14.139,4.680,5.386,28.124,0.000
11.543,7.169,6.305,31.322,0.000
9.982,6.515,8.093,30.169,0.000
11.044,4.733,5.958,31.756,0.000
15.116,4.226,4.073,28.694,0.000
12.259,6.602,3.378,30.030,0.000
9.140,5.258,3.862,27.926,0.000
11.551,9.028,2.575,24.380,0.000
8.502,4.502,7.879,32.344,0.000
12.279,4.488,5.933,32.720,0.000
14.263,10.733,4.224,30.985,0.000
19.350,8.810,6.082,34.254,0.000
9.516,4.564,4.861,45.575,0.000
16.982,4.439,6.469,26.723,0.000
10.179,8.045,4.438,33.900,0.000
10.592,4.688,9.062,28.960,0.000
8.008,4.581,5.179,30.665,0.000
11.703,4.469,7.371,23.597,0.000
13.668,4.564,4.841,30.749,0.000
16.160,9.540,4.977,28.379,0.000
11.418,5.101,5.449,37.257,0.000
8.793,5.947,5.410,28.484,0.000
11.414,4.603,4.390,28.891,0.000
9.194,6.640,6.247,26.373,0.000
10.571,4.724,9.516,29.060,0.000
9.703,4.797,4.778,31.213,0.000
10.237,4.541,7.415,25.723,0.000
14.081,4.469,4.589,30.613,0.000
12.813,4.600,5.967,29.013,0.000
10.456,4.686,6.334,29.076,0.000
13.927,5.195,11.595,28.363,0.000
12.014,4.973,4.167,44.141,0.000
12.005,5.239,4.026,27.779,0.000
10.090,4.864,5.100,27.589,0.000
8.183,4.649,5.580,25.671,0.000
12.516,4.327,5.485,24.879,0.000
13.685,7.010,6.223,29.895,0.000
